Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other
Illawarra cattle,Taurus,Australia,Meat,Dairy,—,—
Improved Red and White,Taurus,—,Meat,—,—,—
Indo-Brazilian,Indicus,—,Meat,—,—,—
Irish Moiled,Taurus,Ireland,Meat,Dairy,—,—
Israeli Holstein,Taurus,Israel,—,Dairy,—,—
Israeli Red,Taurus/Indicus hybrid,Israel,Meat,Dairy,—,—
Istoben cattle,Taurus,—,Meat,Dairy,—,—
Istrian cattle,see Boškarin,,,,,
Jamaica Black,Taurus/Indicus hybrid,Jamaica,Meat,Dairy,—,—
Jamaica Hope,Taurus/Indicus hybrid,Jamaica,—,Dairy,—,—
Jamaica Red,Taurus/Indicus hybrid,Jamaica,Meat,—,—,—
Japanese Black,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Brown,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Polled,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Japanese Shorthorn,Taurus,Japan,Meat,—,—,One of the four wagyu breeds 
Jarmelista,Taurus,Portugal,Meat,—,Draught,—
Javari cattle,Indicus,India,—,—,Draught,—
Jersey cattle,Taurus,Channel Islands,—,Dairy,—,—
Jutland cattle,Taurus,Denmark,Meat,Dairy,—,—
Kabin Buri cattle,Taurus/Indicus hybrid,Thailand,Meat,Dairy,—,Crossbreed between Brahman and Simmental
Kalmyk cattle,Taurus,Russia,Meat,Dairy,—,—
Kangayam,Indicus,India,—,Dairy,Draught,—
Kankrej,Indicus,India,—,Dairy,Draught,—
Kamphaeng Saen cattle,Taurus/Indicus hybrid,Thailand,Meat,—,—,—
Karan Swiss,Taurus/Indicus hybrid,—,Meat,Dairy,—,—
Kasaragod Dwarf cattle,Indicus,India,—,Dairy,Draught,—
Kathiawadi,Indicus,India,—,—,Draught,—
Kazakh Whiteheaded,Taurus,—,Meat,Dairy,—,—
Kenana cattle,Indicus,Sudan,—,Dairy,—,—
Kenkatha cattle,Indicus,India,—,—,Draught,—
Kerry cattle,Taurus,Ireland,Meat,Dairy,—,—
Kherigarh,Indicus,India,—,—,Draught,—
Khillari cattle,Indicus,India,—,—,Draught,—
Kholomogory,Taurus,Russia,Meat,Dairy,—,—
Korat Wagyu,Taurus/Indicus hybrid,Thailand,Meat,—,—,—
Kostroma cattle,Taurus,Russia,Meat,Dairy,—,—
Krishna Valley cattle,Indicus,India,—,Dairy,Draught,—
Kuri,Taurus,—,Meat,Dairy,Draught,—
Kurgan cattle,Taurus,Russia,Meat,Dairy,—,—
La Reina cattle,Taurus,Nicaragua,Meat,Dairy,—,—
Lakenvelder cattle,Taurus,Netherlands,—,Dairy,—,—
Lampurger,—,—,—,—,—,—
Latvian Blue,—,—,—,—,—,—
Latvian Brown,Taurus,Latvia,Meat,Dairy,—,—
Latvian Danish Red,Taurus,Latvia,Meat,Dairy,—,—
Lebedyn,Taurus,Ukraine,—,—,—,—
Levantina,Taurus,—,Meat,—,Draught,—
Limia cattle,Taurus,Spain,Meat,Dairy,Draught,—
Limousin,Taurus,France,Meat,—,Draught,—
Limpurger,Taurus,—,Meat,Dairy,—,—
Lincoln Red,Taurus,England,Meat,—,—,—
Linda the cow,Taurus,Canada,—,Dairy,—,—
Lynch Lineback,Taurus,Canada,—,Dairy,—,—
Lithuanian Black-and-White,—,—,—,—,—,—
Lithuanian Light Grey,—,—,—,—,—,—
Lithuanian Red,—,Lithuania,Meat,—,—,—
Lithuanian White-Backed,—,—,—,—,—,—
Lohani cattle,Indicus,—,Meat,—,Draught,—
Lourdais,Taurus,France,Meat,Dairy,Draught,—
Lucerna cattle,Taurus,South America,—,—,—,—
Luing,Taurus,Scotland,Meat,—,—,—
Madagascar Zebu,Indicus,—,Meat,Dairy,Draught,—
Madura,Banteng/Indicus hybrid,Indonesia,Meat,Dairy,Draught,Racing
Maine-Anjou,Taurus,France,Meat,Dairy,Draught,—
Malnad Gidda,Indicus,India,—,Dairy,Draught,Semi-dwarf breed
Malvi,Indicus,India,—,Dairy,Draught,—
Mandalong Special,Taurus/Indicus hybrid,—,Meat,—,—,—
Mantequera Leonesa,Taurus,—,Meat,Dairy,Draught,—
Maraîchine,Taurus,France,meat,—,—,—
Maramureş Brown,—,Romania,—,—,—,—
Marchigiana,Taurus,Italy,Meat,—,Draught,—
Maremmana,Taurus,Italy,Meat,Dairy,Draught,—
Marinhoa,Taurus,Portugal,Meat,Dairy,Draught,—
Maronesa,Taurus,Portugal,Meat,Dairy,Draught,—
Masai,Indicus,—,Meat,—,Draught,—
Mashona,Taurus,—,Meat,—,Draught,—
Menorquina,Taurus,—,—,Dairy,—,—
Mertolenga,Taurus,Portugal,Meat,—,Draught,—
Meuse-Rhine-Issel,Taurus,Netherlands,Meat,Dairy,—,—
Mewati,Indicus,India,—,Dairy,Draught,—
Milking Shorthorn,Taurus,Great Britain,Meat,Dairy,—,—
Minhota,Taurus,Portugal,Meat,Dairy,Draught,—
Mirandesa,Taurus,Portugal,Meat,—,Draught,—
Mocăniţă,—,Romania,—,—,—,—
Mollie,Taurus,Spain,Meat,—,Draught,—
Monchina,Taurus,Spain,Meat,—,Draught,—
Mongolian,Taurus,China,Meat,—,Draught,—
Montbéliarde,Taurus,France,Meat,Dairy,—,—
Morucha,Taurus,—,Meat,—,Draught,Fighting
Munshiganj Cattle,—,Bangladesh,Meat,—,—,—
Muturu,Taurus africanus,Nigeria,Meat,Dairy,—,—
Murboden,Taurus,Austria,Meat,Dairy,Draught,—
Murnau-Werdenfels,Taurus,Germany,—,Dairy,—,—
Murray Grey,Taurus,Australia,Meat,—,—,—
Nagori,Indicus,India,—,—,Draught,—
N'Dama,Taurus,Guinea,Meat,Dairy,—,—
Negra Andaluza,Taurus,Spain,Meat,—,Draught,—
Nelore,Indicus,Brazil,Meat,—,Draught,—
Nguni,Taurus/Indicus hybrid,Southern Africa,Meat,Dairy,—,—
Nimari,Indicus,India,—,—,Draught,—
Normande,Taurus,France,Meat,Dairy,—,—
North Bengal Grey,,Bangladesh,Meat,Dairy,—,—
Northern Finncattle,Taurus,Finland,Meat,Dairy,—,—
Northern Shorthorn,Taurus,Great Britain,—,Dairy,—,—
Norwegian Red,Taurus,Norway,Meat,Dairy,—,—
Ongole,Indicus,India,Meat,Dairy,Draught,—
Original Simmental,Taurus,Switzerland,Meat,Dairy,—,—
Pajuna,Taurus,Spain,Meat,—,Draught,—
Palmera,Taurus,—,Meat,—,Draught,Sport
Pantaneiro,—,Brazil,—,—,—,—
Parda Alpina,Taurus,Spain,Meat,Dairy,—,—
Parthenaise,Taurus,France,Meat,—,Draught,—
Pasiega,Taurus,Spain,—,Dairy,—,—
Pembroke,Taurus,Wales,Meat,Dairy,—,—
Philippine Native,Taurus,Philippines,Meat,Dairy,Draught,—
Pie Rouge des Plaines,Taurus,France,—,Dairy,—,—
Piedmontese cattle,Taurus,Italy,Meat,Dairy,—,—
Pineywoods,Taurus,—,Meat,Dairy,Draught,—
Pinzgauer,Taurus,Austria,Meat,Dairy,—,—
Pirenaica,Taurus,"Spain, France",Meat,—,Draught,—
Podolac,Taurus,Croatia,Meat,Dairy,Draught,—
Podolica,Taurus,Italy,Meat,Dairy,Draught,—
Polish Black-and-White,—,—,—,—,—,—
Polish Red,Taurus,Poland,Meat,Dairy,Draught,—
Polled Hereford,Taurus,England,Meat,—,—,—
Poll Shorthorn,Taurus,Australia,Meat,—,—,—
Polled Shorthorn,Taurus,United States,Meat,—,—,—
Ponwar,Indicus,India,—,—,Draught,—
Preta,Taurus,Portugal,Meat,—,Draught,—
Prim'Holstein[note 1],Taurus,France,Meat,Dairy,—,—
Punganur,Indicus,India,Meat,Dairy,Draught,—
Pulikulam,Indicus,India,—,Dairy,Draught,Jallikattu
Pustertaler Sprinzen,Taurus,—,Meat,—,—,—
Qinchaun,Taurus,China,Meat,—,Draught,—
Queensland Miniature Boran,Taurus,—,Meat,—,—,Pets
Ramo Grande,Taurus,Portugal,Meat,Dairy,Draught,—
Randall,Taurus,United States,Meat,Dairy,Draught,—
Raramuri Criollo,Taurus,"Chihuahua, Mexico",Meat,Dairy,—,—
Rathi,Indicus,India [5],—,Dairy,Draught,Domestic
Rätisches Grauvieh,taurus,Switzerland,meat,dairy,draught,—
Raya,—,Ethiopia,Meat,Dairy,Draught,—
Red Angus,Taurus,Scotland,Meat,Dairy,—,—
Red Brangus,Taurus/Indicus hybrid,—,Meat,—,—,—
Red Chittagong,Indicus,Bangladesh[6],—,—,Draught,Good reproductive performance
Red Fulani,Taurus/Indicus hybrid,West Africa,Meat,—,—,—
Red Gorbatov,Taurus,Russia,—,Dairy,—,—
Red Holstein,Taurus,—,—,Dairy,—,—
Red Kandhari,Indicus,India,—,—,Draught,Domestic
Red Mingrelian,,Georgia,Meat,Dairy,,
Red Poll,Taurus,England,Meat,Dairy,—,—
Red Polled Østland,Taurus,Norway,Meat,Dairy,—,—
Red Sindhi,Indicus,Pakistan,Meat,Dairy,—,—
Retinta,Taurus,—,Meat,—,Draught,—
Riggit Galloway,Taurus,—,Meat,—,—,—
Ringamåla,Taurus,Sweden,—,Dairy,—,—
Rohjan,Indicus,—,Meat,—,Draught,—
Romagnola,Taurus,Italy,Meat,—,Draught,—
Romanian Bălţata,—,Romania,—,—,—,—
Romanian Steppe Gray,—,Romania,—,—,—,—
Romosinuano,Taurus,Colombia,Meat,—,—,—
Russian Black Pied,Taurus,Russia,Meat,Dairy,Draught,—
RX3,Taurus,—,Meat,—,—,—
Sahiwal,Indicus,Pakistan,Meat,Dairy,—,—
Sibi Bhagnari,Zebu,"Sibi, Pakistan",Meat,—,Draught,Sibi Mela 
Salers,Taurus,France,Meat,—,Draught,—
Salorn,Taurus,—,Meat,—,—,—
Sanga,Taurus/Indicus hybrid,—,Meat,—,—,—
Sanhe,Taurus/Mongolian hybrid,—,Meat,Dairy,Draught,—
Santa Cruz,Taurus/Indicus hybrid,United States,Meat,—,—,—
Santa Gertrudis,Taurus/Indicus hybrid,United States,Meat,—,—,—
Sayaguesa,Taurus,Spain,Meat,—,Draught,—
Schwyz,—,Switzerland,—,—,—,—
Selembu,Gaur/Indicus hybrid,—,Meat,Dairy,—,—
Senepol,Taurus/Indicus hybrid,—,Meat,—,—,—
Serbian Pied,Taurus,Serbia,—,Dairy,—,—
Serbian Steppe,Taurus,Serbia,—,—,Draught,—
Sheko,—,Ethiopia,—,—,—,—
Shetland,Taurus,Scotland,Meat,—,Draught,—
Shorthorn,Taurus,England,Meat,—,—,—
Siboney de Cuba,Taurus/Indicus hybrid,—,Meat,—,Draught,—
Simbrah,Taurus/Indicus hybrid,—,Meat,—,—,—
Simford,Taurus,—,Meat,—,—,—
Simmental,Taurus,Switzerland,Meat,Dairy,Draught,—
Siri,Zebu,Bhutan,—,Dairy,Draught,—
South Devon,Taurus,England,Meat,Dairy,—,—
Spanish Fighting Bull,Taurus,Spain,Meat,—,—,Sport
Speckle Park,Taurus,Canada,Meat,—,—,—
Square Meater,Taurus,Australia,Meat,—,—,—
Stabiliser,Taurus,United States,Meat,—,—,—
Sussex,Taurus,England,Meat,—,—,—
Swedish Friesian,Taurus,—,—,Dairy,—,—
Swedish Polled,Taurus,—,—,Dairy,—,—
Swedish Red Pied,Taurus,—,—,Dairy,—,—
Swedish Red Polled,Taurus,—,Meat,Dairy,—,—
Swedish Red-and-White,Taurus,—,Meat,Dairy,—,—
Tabapuã,Indicus,Brazil,Meat,Dairy,Draught,—
Tarentaise,Taurus,France,Meat,Dairy,—,—
Tasmanian Grey,Taurus,—,Meat,—,—,—
Telemark,Taurus,Norway,Meat,Dairy,—,—
Texas Longhorn,Taurus,United States,Meat,Dairy,—,—
Texon,Taurus,—,Meat,—,—,—
Thai Black,Taurus/Indicus hybrid,Thailand,Meat,—,—,—
Thai Fighting Bull,Indicus,Thailand,—,—,—,Sport
Thai Friesian,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—
Thai Milking Zebu,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—
Tharparkar,Indicus,India/ Pakistan[7],—,Dairy,Draught,—
Tswana,Taurus,Botswana,Meat,Dairy,—,—
Tudanca,Taurus,Spain,Meat,Dairy,Draught,"Grazing projects, rewilding"
Tuli,Taurus,Zimbabwe,Meat,Dairy,—,—
Tulim,Taurus/Indicus hybrid,—,Meat,—,—,—
Turkish Grey Steppe,Taurus,—,Meat,—,Draught,—
Tux-Zillertal,Taurus,Austria,Meat,—,—,—
Tyrol Grey,Taurus,Austria,Meat,Dairy,—,—
Umblachery,Indicus,India,—,Dairy,Draught,—
Ukrainian Grey,Taurus,Ukraine,—,—,—,—
Valdostana Castana,—,Italy,—,—,—,—
Valdostana Pezzata Nera,—,Italy,—,—,—,—
Valdostana Pezzata Rossa,—,Italy,—,—,—,—
Väneko,—,Sweden,—,—,—,—
Vaynol,Taurus,Wales,Meat,—,—,—
Vechur[8],Indicus,India,—,Dairy,—,Milk and ghee traditionally used in Ayurvedic medicine. The protein content of the milk has anti-bacterial properties[9][10] 
Vestland Fjord,Taurus,Norway,Meat,Dairy,—,—
Vestland Red Polled,Taurus,Norway,Meat,Dairy,—,—
Vianesa,Indicus,—,Meat,Dairy,—,—
Volinian Beef,—,Ukraine,Meat,—,—,—
Vorderwald,Taurus,Germany,Meat,Dairy,—,—
Vosgienne,Taurus,France,Meat,Dairy,—,—
Waguli,Taurus,USA,Meat,—,—,—
Wangus,Taurus/Indicus hybrid,—,Meat,—,—,—
Welsh Black,Taurus,Wales,Meat,—,—,—
Western Finncattle,Taurus,Finland,Meat,Dairy,—,—
White Cáceres,Taurus,—,Meat,—,Draught,—
White Fulani,Indicus,—,Meat,—,—,—
White Lamphun,Indicus,Thailand,—,—,Draught,—
White Park,Taurus,Great Britain,Meat,Dairy,—,—
Whitebred Shorthorn,Taurus,Great Britain,Meat,—,—,—
Xinjiang Brown,Taurus/Mongolian hybrid,—,Meat,Dairy,Draught,—
Yakutian,Taurus,Russia,Meat,Dairy,Draught,—
Yanbian,China,—,—,Draught,—,—
Yanhuang,China,—,—,—,—,—
Yurino,Taurus,Ukraine,—,—,—,—
Żubroń,Taurus/European bison hybrid,Poland,Meat,—,—,Science
Zebu,Indicus,—,Meat,Dairy,Draft,—
